ID,medv
3,37.899796
6,27.664473
8,15.843847
9,13.220054
10,17.761158
18,17.792147
20,20.916098
25,15.222332
26,14.59182
27,17.101461
29,17.397243
30,20.648258
33,13.253075
34,16.131702
36,22.417734
37,21.562435
38,23.755552
42,28.976349
49,11.272045
53,24.402899
60,21.948742
63,21.836874
70,21.936396
72,21.283655
79,19.625456
80,22.131996
83,23.569336
92,22.25643
93,24.235966
96,25.824972
98,42.868984
99,44.608704
100,31.49933
105,20.733175
106,17.272945
111,21.685709
113,17.250368
114,15.538923
116,18.914665
126,22.203524
130,17.555166
131,19.466719
133,19.575077
136,16.890182
141,15.102595
144,13.224955
145,14.485339
147,17.693594
152,20.08591
153,23.41446
156,17.550947
158,32.104725
163,49.559654
169,21.946331
185,25.632723
186,27.428967
189,28.937654
196,48.720757
197,39.748898
199,33.815125
200,34.037952
203,45.484314
208,20.375456
210,16.564125
211,21.008173
213,24.483177
216,25.964048
218,24.40212
219,20.032272
220,23.408524
221,29.39153
229,45.330276
232,34.663486
238,34.528107
239,24.411541
240,26.041124
242,20.643883
246,17.508728
248,19.74362
253,36.537758
255,23.43343
256,22.365234
257,43.404408
258,44.31594
259,35.960667
260,31.881678
268,40.524883
270,22.544142
271,21.498882
276,32.53529
277,32.507977
278,33.271557
279,24.91249
281,46.622173
288,23.413239
290,24.887598
292,37.77527
295,21.19996
296,26.335487
299,25.463633
300,33.523018
301,28.101532
308,29.892836
314,22.238312
315,24.260208
320,20.441555
322,23.75951
323,23.674662
324,20.137821
327,24.286158
330,21.73339
332,18.351013
333,20.6921
336,21.027555
338,18.10667
346,19.570686
347,18.15644
351,22.303116
352,22.126144
354,30.60973
355,17.903984
356,20.14532
362,20.623646
364,21.8146
365,40.00958
370,36.648243
376,21.366962
379,7.8560514
380,9.301249
381,18.509325
382,9.771114
386,7.515916
389,8.558663
391,15.998409
394,17.656528
396,14.649202
398,15.500066
400,12.413398
403,12.4192295
405,10.880071
406,10.096769
407,18.864315
410,19.658644
411,22.76948
412,14.47212
413,10.1052
417,13.146445
421,15.590944
422,17.288706
423,20.309761
424,13.702391
427,18.10837
431,14.96426
436,11.21858
437,13.32596
439,7.6837974
447,15.025854
450,13.956662
451,16.153236
455,15.430895
457,16.103704
471,17.444553
474,22.814865
476,12.288108
483,27.345701
486,21.368176
490,10.371039
495,21.494728
496,18.881205
497,15.897312
499,21.481316
501,20.013138
505,18.848394
